Comparison,Difference,Lower,Upper,P Adjusted
Classical-Alternative,1.98E+01,-1.10E+00,4.08E+01,8.30E-02
Country-Alternative,-2.17E+01,-4.27E+01,-7.98E-01,3.38E-02
Dance/Electronic-Alternative,-1.14E+01,-3.24E+01,9.53E+00,8.26E-01
Hip-Hop/Rap-Alternative,-7.34E+00,-2.83E+01,1.36E+01,9.92E-01
Jazz-Alternative,-7.61E+00,-2.85E+01,1.33E+01,9.90E-01
K-pop-Alternative,-2.01E+01,-4.10E+01,8.32E-01,7.35E-02
Metal/Rock-Alternative,-9.51E+00,-3.05E+01,1.14E+01,9.44E-01
Other-Alternative,-1.68E+01,-3.78E+01,4.09E+00,2.61E-01
Pop-Alternative,1.11E+01,-9.80E+00,3.21E+01,8.48E-01
RnB/Soul-Alternative,-8.70E+00,-2.96E+01,1.22E+01,9.71E-01
Trap-Alternative,-2.58E+01,-4.68E+01,-4.87E+00,3.34E-03
Country-Classical,-4.16E+01,-6.25E+01,-2.06E+01,7.90E-09
Dance/Electronic-Classical,-3.12E+01,-5.22E+01,-1.03E+01,7.47E-05
Hip-Hop/Rap-Classical,-2.72E+01,-4.81E+01,-6.23E+00,1.39E-03
Jazz-Classical,-2.74E+01,-4.84E+01,-6.50E+00,1.16E-03
K-pop-Classical,-3.99E+01,-6.09E+01,-1.90E+01,3.92E-08
Metal/Rock-Classical,-2.93E+01,-5.03E+01,-8.41E+00,3.08E-04
Other-Classical,-3.67E+01,-5.76E+01,-1.57E+01,8.14E-07
Pop-Classical,-8.70E+00,-2.96E+01,1.22E+01,9.71E-01
RnB/Soul-Classical,-2.85E+01,-4.95E+01,-7.59E+00,5.50E-04
Trap-Classical,-4.57E+01,-6.66E+01,-2.47E+01,1.12E-10
Dance/Electronic-Country,1.03E+01,-1.06E+01,3.13E+01,9.04E-01
Hip-Hop/Rap-Country,1.44E+01,-6.54E+00,3.53E+01,5.12E-01
Jazz-Country,1.41E+01,-6.81E+00,3.51E+01,5.43E-01
K-pop-Country,1.63E+00,-1.93E+01,2.26E+01,1.00E+00
Metal/Rock-Country,1.22E+01,-8.71E+00,3.32E+01,7.51E-01
Other-Country,4.89E+00,-1.60E+01,2.58E+01,1.00E+00
Pop-Country,3.29E+01,1.19E+01,5.38E+01,2.07E-05
RnB/Soul-Country,1.30E+01,-7.90E+00,3.40E+01,6.66E-01
Trap-Country,-4.08E+00,-2.50E+01,1.69E+01,1.00E+00
Hip-Hop/Rap-Dance/Electronic,4.08E+00,-1.69E+01,2.50E+01,1.00E+00
Jazz-Dance/Electronic,3.80E+00,-1.71E+01,2.47E+01,1.00E+00
K-pop-Dance/Electronic,-8.70E+00,-2.96E+01,1.22E+01,9.71E-01
Metal/Rock-Dance/Electronic,1.90E+00,-1.90E+01,2.28E+01,1.00E+00
Other-Dance/Electronic,-5.43E+00,-2.64E+01,1.55E+01,9.99E-01
Pop-Dance/Electronic,2.26E+01,1.61E+00,4.35E+01,2.21E-02
RnB/Soul-Dance/Electronic,2.72E+00,-1.82E+01,2.37E+01,1.00E+00
Trap-Dance/Electronic,-1.44E+01,-3.53E+01,6.54E+00,5.12E-01
Jazz-Hip-Hop/Rap,-2.72E-01,-2.12E+01,2.07E+01,1.00E+00
K-pop-Hip-Hop/Rap,-1.28E+01,-3.37E+01,8.17E+00,6.95E-01
Metal/Rock-Hip-Hop/Rap,-2.17E+00,-2.31E+01,1.88E+01,1.00E+00
Other-Hip-Hop/Rap,-9.51E+00,-3.05E+01,1.14E+01,9.44E-01
Pop-Hip-Hop/Rap,1.85E+01,-2.46E+00,3.94E+01,1.46E-01
RnB/Soul-Hip-Hop/Rap,-1.36E+00,-2.23E+01,1.96E+01,1.00E+00
Trap-Hip-Hop/Rap,-1.85E+01,-3.94E+01,2.46E+00,1.46E-01
K-pop-Jazz,-1.25E+01,-3.34E+01,8.44E+00,7.24E-01
Metal/Rock-Jazz,-1.90E+00,-2.28E+01,1.90E+01,1.00E+00
Other-Jazz,-9.24E+00,-3.02E+01,1.17E+01,9.54E-01
Pop-Jazz,1.88E+01,-2.19E+00,3.97E+01,1.31E-01
RnB/Soul-Jazz,-1.09E+00,-2.20E+01,1.99E+01,1.00E+00
Trap-Jazz,-1.82E+01,-3.91E+01,2.73E+00,1.62E-01
Metal/Rock-K-pop,1.06E+01,-1.03E+01,3.15E+01,8.87E-01
Other-K-pop,3.26E+00,-1.77E+01,2.42E+01,1.00E+00
Pop-K-pop,3.12E+01,1.03E+01,5.22E+01,7.47E-05
RnB/Soul-K-pop,1.14E+01,-9.53E+00,3.24E+01,8.26E-01
Trap-K-pop,-5.71E+00,-2.66E+01,1.52E+01,9.99E-01
Other-Metal/Rock,-7.34E+00,-2.83E+01,1.36E+01,9.92E-01
Pop-Metal/Rock,2.07E+01,-2.89E-01,4.16E+01,5.73E-02
RnB/Soul-Metal/Rock,8.15E-01,-2.01E+01,2.18E+01,1.00E+00
Trap-Metal/Rock,-1.63E+01,-3.72E+01,4.64E+00,3.10E-01
Pop-Other,2.80E+01,7.05E+00,4.89E+01,8.01E-04
RnB/Soul-Other,8.15E+00,-1.28E+01,2.91E+01,9.82E-01
Trap-Other,-8.97E+00,-2.99E+01,1.20E+01,9.63E-01
RnB/Soul-Pop,-1.98E+01,-4.08E+01,1.10E+00,8.30E-02
Trap-Pop,-3.70E+01,-5.79E+01,-1.60E+01,6.38E-07
Trap-RnB/Soul,-1.71E+01,-3.81E+01,3.82E+00,2.39E-01
